type	journal	pubmed
Journal Article	The New England journal of medicine	29262285
Journal Article	The New England journal of medicine	29262283
Journal Article	The New England journal of medicine	29262281
Journal Article	The New England journal of medicine	29262280
c("Journal Article", "Randomized Controlled Trial")	The New England journal of medicine	29262276
c("Journal Article", "Review")	The New England journal of medicine	29262274
c("Journal Article", "Randomized Controlled Trial")	The New England journal of medicine	29262271
Journal Article	The New England journal of medicine	29261403
Journal Article	The New England journal of medicine	29261363
Journal Article	JAMA	29260233
Journal Article	JAMA	29260232
Journal Article	JAMA	29260231
Journal Article	JAMA	29260228
c("Journal Article", "Randomized Controlled Trial")	JAMA	29260226
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	JAMA	29260225
Journal Article	JAMA	29260224
Journal Article	JAMA	29260214
Journal Article	JAMA	29260211
Journal Article	JAMA	29260209
Journal Article	JAMA	29260208
Journal Article	JAMA	29260207
Journal Article	JAMA	29260203
Journal Article	JAMA	29260202
Journal Article	BMJ open	29259066
Journal Article	BMJ open	29259065
Journal Article	BMJ open	29259064
Journal Article	BMJ open	29259063
Journal Article	BMJ open	29259062
Journal Article	BMJ open	29259061
Journal Article	BMJ open	29259060
Journal Article	BMJ open	29259059
Journal Article	BMJ open	29259058
Journal Article	BMJ open	29259057
Journal Article	BMJ open	29259056
Journal Article	BMJ open	29259055
Journal Article	BMJ open	29259054
Journal Article	BMJ open	29259053
Journal Article	BMJ open	29259052
Journal Article	BMJ (Clinical research ed.)	29258997
Journal Article	Lancet (London, England)	29256405
Journal Article	Lancet (London, England)	29256399
Journal Article	Lancet (London, England)	29256398
Journal Article	JAMA	29255890
Journal Article	BMJ open	29255079
Journal Article	BMJ (Clinical research ed.)	29254941
Journal Article	The lancet. Gastroenterology &amp; hepatology	29254888
Journal Article	The lancet. Gastroenterology &amp; hepatology	29254887
Journal Article	The Lancet. Infectious diseases	29254862
Journal Article	The Lancet. Infectious diseases	29254861
c("Journal Article", "Review")	Lancet (London, England)	29254859
Journal Article	Lancet (London, England)	29254858
Journal Article	Lancet (London, England)	29254857
Journal Article	The Lancet. Global health	29254748
Journal Article	The Lancet. Global health	29254747
Journal Article	The Lancet. Public health	29253489
Journal Article	The Lancet. Public health	29253488
Journal Article	The Lancet. Public health	29253487
Journal Article	The Lancet. Public health	29253483
Journal Article	The Lancet. Public health	29253482
Journal Article	The Lancet. Public health	29253481
Journal Article	The Lancet. Public health	29253480
c("Journal Article", "Meta-Analysis", "Review")	The Lancet. Public health	29253478
c("Journal Article", "Meta-Analysis", "Review")	The Lancet. Public health	29253477
Journal Article	The Lancet. Public health	29253472
Journal Article	The Lancet. Public health	29253471
Journal Article	The Lancet. Public health	29253470
Journal Article	The Lancet. Public health	29253469
Journal Article	The Lancet. Public health	29253468
c("Evaluation Studies", "Journal Article")	The Lancet. Public health	29253458
Journal Article	The Lancet. Public health	29253456
Journal Article	The Lancet. Public health	29253455
Journal Article	The Lancet. Public health	29253454
Journal Article	The Lancet. Public health	29253453
Journal Article	The Lancet. Public health	29253451
Journal Article	The Lancet. Public health	29253450
Journal Article	The Lancet. Public health	29253449
Journal Article	The Lancet. Public health	29253448
Journal Article	The Lancet. Public health	29253445
Journal Article	The Lancet. Public health	29253444
Journal Article	The Lancet. Public health	29253443
Journal Article	The Lancet. Public health	29253441
Journal Article	The Lancet. Public health	29253440
Journal Article	The Lancet. Public health	29253439
Journal Article	The Lancet. Public health	29253435
Journal Article	The Lancet. Public health	29253434
Journal Article	The Lancet. Public health	29253433
Journal Article	The Lancet. Public health	29253432
Journal Article	The Lancet. Public health	29253430
c("Evaluation Studies", "Journal Article")	The Lancet. Public health	29253429
Journal Article	The Lancet. Public health	29253425
Journal Article	The Lancet. Public health	29253424
Journal Article	The Lancet. Public health	29253423
Journal Article	The Lancet. Public health	29253422
Journal Article	The Lancet. Public health	29253412
Journal Article	The Lancet. Public health	29253411
Journal Article	The Lancet. Public health	29253408
Journal Article	The Lancet. Public health	29253407
Journal Article	The Lancet. Public health	29253406
Journal Article	The Lancet. Public health	29253405
Journal Article	The Lancet. Public health	29253404
Journal Article	The Lancet. Public health	29253402
c("Journal Article", "Randomized Controlled Trial")	The Lancet. Public health	29253401
Journal Article	The Lancet. Public health	29253397
Journal Article	The Lancet. Public health	29253396
Journal Article	The Lancet. Public health	29253395
Journal Article	The Lancet. Public health	29253394
Journal Article	The Lancet. Public health	29253393
Journal Article	The Lancet. Public health	29253392
Journal Article	The Lancet. Public health	29253391
c("Journal Article", "Meta-Analysis", "Review")	The Lancet. Public health	29253389
Journal Article	The Lancet. Public health	29253388
Journal Article	The Lancet. Public health	29253387
c("Evaluation Studies", "Journal Article")	The Lancet. Public health	29253386
Journal Article	The Lancet. Public health	29253385
Journal Article	The Lancet. Public health	29253384
Journal Article	The Lancet. Public health	29253383
Journal Article	The Lancet. Public health	29253382
Journal Article	The Lancet. Public health	29253381
Journal Article	The Lancet. Public health	29253374
Journal Article	The Lancet. Public health	29253373
Journal Article	The Lancet. Public health	29253372
Journal Article	The Lancet. Public health	29253371
Journal Article	The Lancet. Public health	29253370
Journal Article	The Lancet. Public health	29253369
c("Journal Article", "Review")	The Lancet. Public health	29253366
Journal Article	The Lancet. Public health	29253364
Journal Article	The Lancet. Public health	29253363
Journal Article	The Lancet. Public health	29253362
Journal Article	The Lancet. Public health	29253361
Journal Article	The Lancet. Public health	29253360
Journal Article	The Lancet. Public health	29250608
Journal Article	The Lancet. Public health	29249482
Journal Article	The Lancet. Public health	29249481
Journal Article	The Lancet. Public health	29249480
Journal Article	The Lancet. Public health	29249479
Journal Article	The Lancet. Public health	29249478
c("Journal Article", "Review")	The Lancet. Public health	29249477
Journal Article	The Lancet. Public health	29249476
Journal Article	The Lancet. Public health	29249474
Journal Article	The Lancet. Public health	29249473
Journal Article	The Lancet. Respiratory medicine	29249325
Journal Article	The Lancet. Respiratory medicine	29249324
Journal Article	The Lancet. Oncology	29249307
Journal Article	The Lancet. Oncology	29249306
Journal Article	The Lancet. Oncology	29249305
Journal Article	The Lancet. Oncology	29249304
Journal Article	Lancet (London, England)	29249277
Journal Article	Lancet (London, England)	29249276
Journal Article	BMJ open	29248887
Journal Article	BMJ open	29248886
Journal Article	BMJ open	29248885
Journal Article	BMJ open	29248884
Journal Article	The Lancet. Haematology	29248670
Journal Article	The Lancet. Haematology	29248669
Journal Article	The Lancet. Respiratory medicine	29248433
Journal Article	The Lancet. Respiratory medicine	29248432
Journal Article	The Lancet. Respiratory medicine	29248431
Journal Article	The lancet. Psychiatry	29248404
Journal Article	The lancet. Gastroenterology &amp; hepatology	29248399
Journal Article	The lancet. Gastroenterology &amp; hepatology	29248398
Journal Article	The Lancet. Global health	29248368
Journal Article	The Lancet. Global health	29248367
Journal Article	The Lancet. Global health	29248366
Journal Article	The Lancet. Global health	29248365
Journal Article	Lancet (London, England)	29248256
Journal Article	Lancet (London, England)	29248255
Journal Article	The Lancet. Oncology	29248236
Journal Article	The Lancet. Oncology	29248235
Journal Article	BMJ open	29247116
Journal Article	BMJ open	29247115
Journal Article	BMJ open	29247114
Journal Article	BMJ open	29247113
Journal Article	BMJ open	29247112
Journal Article	BMJ open	29247111
Journal Article	BMJ open	29247110
Journal Article	BMJ open	29247109
Journal Article	BMJ open	29247108
Journal Article	BMJ open	29247107
Journal Article	BMJ open	29247106
Journal Article	BMJ open	29247105
Journal Article	BMJ open	29247104
Journal Article	BMJ open	29247103
Journal Article	BMJ open	29247102
Journal Article	BMJ open	29247101
Journal Article	BMJ open	29247100
Journal Article	BMJ open	29247099
Journal Article	BMJ open	29247098
Journal Article	BMJ open	29247097
Journal Article	BMJ open	29247096
Journal Article	BMJ open	29247095
Journal Article	BMJ open	29247094
Journal Article	BMJ open	29247093
Journal Article	BMJ open	29247092
Journal Article	BMJ open	29247091
Journal Article	BMJ open	29247090
Journal Article	BMJ open	29247089
Journal Article	BMJ open	29247088
Journal Article	BMJ open	29247087
Journal Article	BMJ open	29247086
Journal Article	BMJ open	29247085
Journal Article	BMJ open	29247084
Journal Article	BMJ open	29247083
Journal Article	BMJ open	29247082
Journal Article	BMJ open	29247081
Journal Article	The Lancet. Oncology	29246804
Journal Article	The Lancet. Oncology	29246803
c("Journal Article", "Review")	The lancet. Diabetes &amp; endocrinology	29246752
Journal Article	Lancet (London, England)	29246643
Journal Article	The Lancet. Neurology	29246470
Journal Article	The Lancet. Neurology	29246469
Journal Article	The lancet. Psychiatry	29246453
Journal Article	The lancet. Psychiatry	29246452
Journal Article	BMJ open	29242395
Journal Article	BMJ (Clinical research ed.)	29242194
Journal Article	The Lancet. Infectious diseases	29242092
Journal Article	The Lancet. Infectious diseases	29242091
Journal Article	The Lancet. Oncology	29242042
Journal Article	The Lancet. Oncology	29242041
Journal Article	The lancet. Gastroenterology &amp; hepatology	29242015
Journal Article	The lancet. Gastroenterology &amp; hepatology	29242014
Journal Article	The lancet. Psychiatry	29242001
Journal Article	The lancet. Psychiatry	29242000
Journal Article	Lancet (London, England)	29241979
Journal Article	Lancet (London, England)	29241978
Journal Article	The Lancet. Respiratory medicine	29241977
Journal Article	The Lancet. Haematology	29241763
Journal Article	The Lancet. Haematology	29241762
Journal Article	The Lancet. Respiratory medicine	29239796
Journal Article	BMJ open	29237655
Journal Article	BMJ open	29237654
Journal Article	BMJ open	29237653
Journal Article	BMJ open	29237652
Journal Article	BMJ (Clinical research ed.)	29237616
Journal Article	BMJ (Clinical research ed.)	29237607
Journal Article	BMJ (Clinical research ed.)	29237606
Journal Article	BMJ (Clinical research ed.)	29237605
Journal Article	BMJ (Clinical research ed.)	29237604
Journal Article	BMJ (Clinical research ed.)	29237603
Journal Article	BMJ (Clinical research ed.)	29237602
Journal Article	BMJ (Clinical research ed.)	29237600
Journal Article	BMJ (Clinical research ed.)	29237597
Journal Article	BMJ (Clinical research ed.)	29237588
Journal Article	The New England journal of medicine	29236645
Journal Article	The New England journal of medicine	29236644
Journal Article	The New England journal of medicine	29236643
Journal Article	The New England journal of medicine	29236642
Journal Article	The New England journal of medicine	29236641
Journal Article	The New England journal of medicine	29236640
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	The New England journal of medicine	29236639
Journal Article	The New England journal of medicine	29236636
c("Journal Article", "Review")	The New England journal of medicine	29236630
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	The New England journal of medicine	29236628
Journal Article	The New England journal of medicine	29236573
Journal Article	The New England journal of medicine	29236567
Journal Article	JAMA	29234816
Journal Article	JAMA	29234815
c("Journal Article", "Review")	JAMA	29234813
Journal Article	JAMA	29234811
c("Journal Article", "Randomized Controlled Trial")	JAMA	29234808
Journal Article	JAMA	29234807
Journal Article	JAMA	29234806
Journal Article	JAMA	29234797
Journal Article	JAMA	29234795
c("Clinical Trial", "Journal Article", "Randomized Controlled Trial")	BMJ (Clinical research ed.)	29233854
Journal Article	BMJ (Clinical research ed.)	29233842
Journal Article	BMJ open	29233831
Journal Article	BMJ (Clinical research ed.)	29233810
Journal Article	Environmental health perspectives	29233797
Journal Article	Environmental health perspectives	29233796
Journal Article	Environmental health perspectives	29233795
Journal Article	The Lancet. Oncology	29233560
Journal Article	The Lancet. Oncology	29233559
Journal Article	The Lancet. Oncology	29233558
Journal Article	The Lancet. Oncology	29233557
Journal Article	Lancet (London, England)	29231839
c("Journal Article", "Review")	Lancet (London, England)	29231838
c("Journal Article", "Review")	Lancet (London, England)	29231837
Journal Article	Lancet (London, England)	29231828
Journal Article	Lancet (London, England)	29231827
Journal Article	Lancet (London, England)	29231826
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	The New England journal of medicine	29231133
c("Journal Article", "Randomized Controlled Trial")	The New England journal of medicine	29231094
Journal Article	BMJ (Clinical research ed.)	29229755
Journal Article	BMJ (Clinical research ed.)	29229754
Journal Article	BMJ (Clinical research ed.)	29229749
Journal Article	BMJ (Clinical research ed.)	29229663
Journal Article	BMJ (Clinical research ed.)	29229662
Journal Article	BMJ open	29229660
Journal Article	BMJ open	29229659
Journal Article	BMJ open	29229658
Journal Article	BMJ open	29229657
Journal Article	BMJ open	29229656
Journal Article	BMJ open	29229655
Journal Article	BMJ open	29229654
Journal Article	BMJ open	29229653
Journal Article	BMJ open	29229652
Journal Article	BMJ (Clinical research ed.)	29229614
c("Journal Article", "Meta-Analysis", "Review")	BMJ (Clinical research ed.)	29229609
Journal Article	BMJ (Clinical research ed.)	29229593
Journal Article	The lancet. Diabetes &amp; endocrinology	29229498
c("Journal Article", "Review")	The lancet. Diabetes &amp; endocrinology	29229497
Journal Article	The lancet. Diabetes &amp; endocrinology	29229496
Journal Article	The Lancet. Infectious diseases	29229440
Journal Article	The Lancet. Infectious diseases	29229439
c("Journal Article", "Review")	The Lancet. Neurology	29229375
Journal Article	The Lancet. Neurology	29229374
Journal Article	Lancet (London, England)	29229174
Journal Article	The Medical journal of Australia	29227784
Journal Article	The Medical journal of Australia	29227783
Journal Article	The Medical journal of Australia	29227782
Journal Article	The Medical journal of Australia	29227781
Journal Article	The Medical journal of Australia	29227780
Journal Article	The Medical journal of Australia	29227779
Journal Article	The Medical journal of Australia	29227778
Journal Article	The Medical journal of Australia	29227777
Journal Article	The Medical journal of Australia	29227776
Journal Article	The Medical journal of Australia	29227775
Journal Article	The Medical journal of Australia	29227774
Journal Article	The Medical journal of Australia	29227773
Journal Article	The Medical journal of Australia	29227772
Journal Article	The Medical journal of Australia	29227771
Journal Article	The Medical journal of Australia	29227770
Journal Article	The Medical journal of Australia	29227769
Journal Article	The Medical journal of Australia	29227768
Journal Article	The Medical journal of Australia	29227767
Journal Article	The Medical journal of Australia	29227766
Journal Article	The Medical journal of Australia	29227765
Journal Article	The Medical journal of Australia	29227764
Journal Article	The Medical journal of Australia	29227763
Journal Article	The Medical journal of Australia	29227762
Journal Article	The Medical journal of Australia	29227761
Journal Article	The Medical journal of Australia	29227760
Journal Article	The Lancet. Global health	29226822
Journal Article	The Lancet. Global health	29226821
Journal Article	The Lancet. Respiratory medicine	29226810
c("Journal Article", "Multicenter Study")	The New England journal of medicine	29226797
c("Clinical Trial", "Journal Article")	The New England journal of medicine	29226764
Journal Article	Environmental health perspectives	29225196
Journal Article	Lancet (London, England)	29224933
Journal Article	Lancet (London, England)	29224931
c("Journal Article", "Multicenter Study")	The New England journal of medicine	29224506
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	The New England journal of medicine	29224502
Journal Article	The Lancet. Oncology	29223745
Journal Article	Lancet (London, England)	29223694
Journal Article	Lancet (London, England)	29223693
Journal Article	The Lancet. Infectious diseases	29223584
Journal Article	The Lancet. Infectious diseases	29223583
Journal Article	BMJ (Clinical research ed.)	29222200
Journal Article	BMJ (Clinical research ed.)	29222173
Journal Article	BMJ open	29222137
Journal Article	BMJ open	29222136
Journal Article	BMJ open	29222135
Journal Article	BMJ open	29222134
Journal Article	BMJ (Clinical research ed.)	29222085
Journal Article	BMJ (Clinical research ed.)	29222083
Journal Article	The lancet. Diabetes &amp; endocrinology	29221659
Journal Article	The lancet. Diabetes &amp; endocrinology	29221658
Journal Article	Lancet (London, England)	29221647
Journal Article	Lancet (London, England)	29221646
Journal Article	Lancet (London, England)	29221645
Journal Article	Lancet (London, England)	29221644
Journal Article	Lancet (London, England)	29221643
Journal Article	BMJ (Clinical research ed.)	29217786
Journal Article	BMJ open	29217728
Journal Article	BMJ open	29217727
Journal Article	BMJ open	29217726
Journal Article	BMJ open	29217725
Journal Article	BMJ open	29217724
Journal Article	BMJ open	29217723
Journal Article	BMJ open	29217722
Journal Article	BMJ open	29217721
Journal Article	BMJ open	29217720
Journal Article	BMJ open	29217719
Journal Article	BMJ open	29217718
Journal Article	BMJ (Clinical research ed.)	29217647
Journal Article	BMJ (Clinical research ed.)	29217520
Journal Article	BMJ (Clinical research ed.)	29217517
Journal Article	BMJ (Clinical research ed.)	29217512
Journal Article	BMJ (Clinical research ed.)	29217505
Journal Article	The Lancet. Respiratory medicine	29217462
Journal Article	The Lancet. Haematology	29217387
Journal Article	Lancet (London, England)	29217377
Journal Article	Lancet (London, England)	29217376
Journal Article	Lancet (London, England)	29217375
Journal Article	Lancet (London, England)	29217374
Journal Article	The Lancet. Oncology	29217289
Journal Article	The Lancet. Oncology	29217288
Journal Article	JAMA	29214309
Journal Article	BMJ open	29212782
Journal Article	BMJ (Clinical research ed.)	29212772
Journal Article	BMJ (Clinical research ed.)	29212763
Journal Article	BMJ (Clinical research ed.)	29212663
Journal Article	BMJ (Clinical research ed.)	29212654
Journal Article	BMJ (Clinical research ed.)	29212631
Journal Article	Environmental health perspectives	29212062
Journal Article	Environmental health perspectives	29212061
Journal Article	Environmental health perspectives	29212060
Journal Article	The New England journal of medicine	29211679
c("Journal Article", "Multicenter Study")	The New England journal of medicine	29211678
Journal Article	The New England journal of medicine	29211677
Journal Article	The New England journal of medicine	29211675
Journal Article	The New England journal of medicine	29211674
c("Journal Article", "Review")	The New England journal of medicine	29211672
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	The New England journal of medicine	29211671
Journal Article	The New England journal of medicine	29211667
Journal Article	The New England journal of medicine	29211664
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	The New England journal of medicine	29211658
Journal Article	The New England journal of medicine	29211622
Journal Article	JAMA	29209725
Journal Article	JAMA	29209722
c("Journal Article", "Multicenter Study", "Randomized Controlled Trial")	JAMA	29209721
Journal Article	JAMA	29209720
Journal Article	JAMA	29209711
Journal Article	JAMA	29209709
Journal Article	JAMA	29209707
Journal Article	JAMA	29209706
Journal Article	JAMA	29209705
Journal Article	JAMA	29209702
Journal Article	BMJ (Clinical research ed.)	29208760
Journal Article	BMJ (Clinical research ed.)	29208735
Journal Article	BMJ (Clinical research ed.)	29208652
Journal Article	BMJ open	29208621
Journal Article	BMJ open	29208620
Journal Article	BMJ open	29208619
Journal Article	BMJ open	29208618
Journal Article	BMJ open	29208617
Journal Article	BMJ open	29208616
Journal Article	BMJ open	29208615
Journal Article	BMJ open	29208614
Journal Article	BMJ (Clinical research ed.)	29208602
Journal Article	The Lancet. Oncology	29208443
c("Journal Article", "Review")	The Lancet. Oncology	29208442
c("Journal Article", "Review")	The Lancet. Oncology	29208441
c("Journal Article", "Review")	The Lancet. Oncology	29208440
c("Journal Article", "Review")	The Lancet. Oncology	29208439
c("Journal Article", "Review")	The Lancet. Oncology	29208438
Journal Article	The Lancet. Oncology	29208430
Journal Article	The Lancet. Oncology	29208429
Journal Article	The Lancet. Oncology	29208428
c("Journal Article", "Review")	The Lancet. Oncology	29208398
Journal Article	The Lancet. Oncology	29208380
Journal Article	The Lancet. Oncology	29208379
Journal Article	The Lancet. Oncology	29208378
Journal Article	The Lancet. Oncology	29208377
Journal Article	The Lancet. Oncology	29208376
Journal Article	Lancet (London, England)	29208306
Journal Article	Lancet (London, England)	29208305
Journal Article	Lancet (London, England)	29208298
Journal Article	Lancet (London, England)	29208297
Journal Article	Lancet (London, England)	29208296
Journal Article	JAMA	29204602
Journal Article	BMJ open	29203509
Journal Article	BMJ open	29203508
Journal Article	BMJ open	29203507
Journal Article	BMJ open	29203506
Journal Article	BMJ open	29203505
